num_features,features,wMAPE_val,RMSE_val,MAE_val,R2_val,wMAPE_test,RMSE_test,MAE_test,R2_test
5,"('carat', 'clarity', 'depth', 'table', 'x')",0.22268978395825204,1366.3317718935225,867.3990518358489,0.8823384827870451,0.21295704039171076,1275.8036417108701,840.9333473118032,0.8984730588466721
5,"('carat', 'clarity', 'depth', 'table', 'y')",0.22978236602280785,1368.9277072325763,895.0253706032021,0.8818909606612286,0.22001418626498437,1291.067605022473,868.8008894731877,0.8960291498762759
5,"('carat', 'clarity', 'depth', 'table', 'z')",0.2228729256467021,1365.8310720185398,868.1124070876687,0.8824247024207427,0.21386706517567866,1327.814198891196,844.5268898700168,0.8900264502148574
5,"('carat', 'clarity', 'depth', 'x', 'y')",0.22418095683123446,1372.6346261774443,873.2073197911978,0.8812504397332713,0.21458745659386996,1282.7908189306982,847.3716005476258,0.8973579510797528
5,"('carat', 'clarity', 'depth', 'x', 'z')",0.224078366413919,1372.5673701184173,872.8077198224648,0.8812620763794973,0.21478592909711952,1292.6874377065026,848.1553367706688,0.8957680930092375
5,"('carat', 'clarity', 'depth', 'y', 'z')",0.2242919444785954,1372.2395917591023,873.6396278134843,0.8813187804444398,0.2154493168681556,1351.584335827383,850.7749491480618,0.8860537789780892
5,"('carat', 'clarity', 'table', 'x', 'y')",0.22601966195431972,1374.4539482311861,880.3692607299382,0.8809354442283843,0.2171382115470133,1290.2562805670964,857.4441245504645,0.8961597822124812
5,"('carat', 'clarity', 'table', 'x', 'z')",0.222529903894676,1366.6132240563793,866.7763029468415,0.8822900033474311,0.21404237305918306,1386.534859465244,845.219152708636,0.8800845304159606
5,"('carat', 'clarity', 'table', 'y', 'z')",0.2216395663749024,1366.3004021873332,863.3083489763518,0.8823438855229393,0.2131596622227128,1368.961229863673,841.7334685675718,0.8831050029738846
5,"('carat', 'clarity', 'x', 'y', 'z')",0.2239495207754163,1372.2484831540514,872.3058531329208,0.8813172424549791,0.21527693413725985,1366.493602490368,850.0942372700027,0.8835260423894205
5,"('carat', 'depth', 'table', 'x', 'y')",0.2276651737848875,1536.0123166124006,886.7786944105006,0.8512998160125451,0.22050667201732058,1447.3732491706623,870.7456370685416,0.8693303553727905
5,"('carat', 'depth', 'table', 'x', 'z')",0.2274105655405608,1536.1995354956907,885.7869697530284,0.8512635647680518,0.22051195112394129,1451.70375559138,870.7664834176137,0.8685472646754842
5,"('carat', 'depth', 'table', 'y', 'z')",0.22799670927385127,1537.0748987523457,888.0700584042391,0.8510940093133033,0.2222673596551086,1588.5484414636126,877.6983114017881,0.8425964393304515
5,"('carat', 'depth', 'x', 'y', 'z')",0.22920168665263022,1551.9602096535066,892.7635661945761,0.8481959794003731,0.22332107480684532,1470.4930795674957,881.859264277698,0.8651224723021311
5,"('carat', 'table', 'x', 'y', 'z')",0.22642144861715524,1538.736500516686,881.9342600944765,0.8507718959396476,0.22131984926548617,1667.4070613646456,873.9567441725841,0.8265809113669956
5,"('cut', 'color', 'clarity', 'depth', 'table')",0.7351789130628706,3865.065134733251,2863.595629694415,0.05846657169940617,0.724376625537831,3875.3871284425686,2860.4476250585035,0.06320662280591871
5,"('cut', 'color', 'clarity', 'depth', 'x')",0.315561692753611,1611.6857382518522,1229.1444547878853,0.836287124980349,0.3083026468946578,1592.311127378164,1217.4379225093005,0.8418498941597818
5,"('cut', 'color', 'clarity', 'depth', 'y')",0.3055059695113554,1629.0657504753624,1189.9764038300946,0.832737210290506,0.3015881419578453,1831.5865561987891,1190.9234146927502,0.7907485283126328
5,"('cut', 'color', 'clarity', 'depth', 'z')",0.3159158064355003,1618.1469704470771,1230.5237631084256,0.8349718471910067,0.3127712233277178,2264.540706108716,1235.083617296661,0.6801297201877998
5,"('cut', 'color', 'clarity', 'table', 'x')",0.3163469167467884,1618.644546302554,1232.2029810258402,0.8348703401576745,0.3084276468659234,1596.7850470893602,1217.9315274357066,0.8409599363277873
5,"('cut', 'color', 'clarity', 'table', 'y')",0.3069042998403737,1639.8537765049591,1195.4230407614552,0.83051457439099,0.3021727210308053,1836.8452820409782,1193.2318241056932,0.7895452263895777
5,"('cut', 'color', 'clarity', 'table', 'z')",0.31807169774230754,1637.954984865773,1238.9211760572668,0.830906842527315,0.31661628380527856,2274.993506665997,1250.2671471394121,0.6771699527743376
5,"('cut', 'color', 'clarity', 'x', 'y')",0.3165876241857293,1621.248619502764,1233.1405606516137,0.8343385920079359,0.3086766156936715,1599.5587473575292,1218.9146655808904,0.840406934405962
